"模式ID","使用模式","成员消费者及确认输出","成员任务数","关键源字段","Facts结构用途","关键关联与条件","业务作用","与其他模式/成员的差异","模式证据切片方式","归组级别","代表证据ID","细粒度Facts证据ID"
"P01_DEPARTMENT_ENRICHMENT","部门属性补充","200030->dm_otc_n.adm_v_risk_daily_bundle_margin；200078->dm_rsk_n.adm_v_risk_daily_bundle_margin；215700->dm_fms_n.adm_v_risk_daily_bundle_margin","3","bel_dept；book_agt_id；busi_date；src_tbl","JOIN关联；条件/回退取值；输出取值；过滤条件","200030: REF_BOOK按当日快照取账簿ID与部门，最终LEFT JOIN到风险结果并直接输出部门；未看到后续部门过滤或计算。；200078: REF_BOOK按当日快照取账簿ID与部门，最终LEFT JOIN到风险结果并直接输出部门；未看到后续部门过滤或计算。；215700: 构造REF_BOOK后左连接风险结果，通过NVL(账簿部门, 原风险部门)写出部门；账簿未匹配时使用原部门回退。","属性补充；计算或条件取值","账簿ID连接后输出部门；200078/200030无回退，215700以原风险部门回退","SINGLE_PATTERN_TASK_FACT_SLICE","同主题不同规则（回退差异）","E-200030；E-200078；E-215700","FU-200030-314ed1ee6ba4；FU-200030-8fa469b6b11b；FU-200030-b40af140ab6c；FU-200030-d7a299880dbe；FU-200078-43bd0a5145bc；FU-200078-6fdea7e7f9ce；FU-200078-ca7fb2a3d164；FU-200078-e63642dbe584；FU-215700-5d7864bae7d9；FU-215700-5e85afe8c639；FU-215700-932e07ab0f2b；FU-215700-a9c1d9951d72；FU-215700-d29ffe44e106"
"P02_OTC_BOOK_ELIGIBILITY","OTC账簿资格闸门","114782->dm_ecif.cust_otc_acctast_s；184662->dm_mast_n.cust_acct_ast|dm_mast_n.cust_ecf_ast|dm_mast_n.cust_uid_ast","2","bel_dept；book_agt_id；book_agt_modifr；busi_date；src_tbl","JOIN关联；过滤条件","114782: 在互换净值、期权净值两个任务内临时分支中，以账簿ID+修饰符内连接，仅保留当日、OTC部门账簿；合格分支随后并入客户账户总资产并按客户汇总。；184662: 在互换净值、期权净值两个临时分支中，以账簿ID+修饰符内连接筛选当日OTC账簿；分支进入账户级临时表，并继续汇总到账户、ECIF、UID三个写入。","范围控制","账簿ID+修饰符内连接，限定当日OTC部门；不直接输出账簿字段","SINGLE_PATTERN_TASK_FACT_SLICE","局部规则一致（限定两类资产分支）","E-114782；E-184662","FU-114782-1dea71435c87；FU-114782-24e6b79bcfa0；FU-114782-2c0c4174669c；FU-114782-373cbdad9eec；FU-114782-5141ae2a36b2；FU-114782-91a097874771；FU-114782-946872e54008；FU-114782-cdf16f3b348a；FU-114782-ee27444ff8e8；FU-114782-fb6b72042c8a；FU-184662-2b0cdec4c15c；FU-184662-3d18f3d9ae84；FU-184662-459b6e1e2536；FU-184662-49f6578ddd42；FU-184662-5d215fe89680；FU-184662-8a9cd2c86804；FU-184662-8f18a9cfb55b；FU-184662-cdbf10bf2e2c；FU-184662-df7630fe1c84；FU-184662-f7f9c3b9ae13"
"P03_FICC_BOOK_SCOPE","GFS_FICC账簿范围","209894->dm_fii_n.adm_trd_comp_scal_sum_day_titans；221300->dm_cisp_n.det_idx_use_situ_stati；243918->dm_fii_n.det_titans_book_acct_lvl_info","3","bel_dept；book_agt_id；busi_date；src_tbl","JOIN关联；过滤条件","209894: 三个互换名义本金窗口和一个期权名义本金分支分别内连接当日GFS_FICC账簿，再按合约、账簿、状态等维度汇总规模。；221300: 互换、期权两个分支均沿交易到账簿关系，以账簿ID内连接当日GFS_FICC账簿，只让固收账簿对应合约进入指标使用情况统计。；243918: 目标表自身的GFS_FICC、来源和业务日期过滤定义固收账簿范围。","范围控制","按当日账簿和Bel_Dept=GFS_FICC限制合约/指标范围","EXPLICIT_PATTERN_FACT_SLICE；SINGLE_PATTERN_TASK_FACT_SLICE","局部规则一致（范围相同，输出作用不同）","E-209894；E-221300；E-243918","FU-209894-11c51b6d17a6；FU-209894-1e3c1fc293b3；FU-209894-35f8c723ed9a；FU-209894-4246cfa2aa47；FU-209894-448107b58e61；FU-209894-503f83fa8390；FU-209894-5485389a90f2；FU-209894-6a21b9d1e322；FU-209894-92aeee98b70e；FU-209894-92c24cd511f6；FU-209894-ac20711b1c87；FU-209894-be6a3ce7d671；FU-209894-cbef00b83ca9；FU-209894-d244cb4c0f04；FU-209894-d72622fc109a；FU-209894-da97523b8671；FU-221300-127b0a40a3cd；FU-221300-31639f46e2ce；FU-221300-53b2f6265d47；FU-221300-5d5b1a9549e6；FU-221300-6cc96b3dc399；FU-221300-c82b933215ef；FU-221300-d028adeaa0b1；FU-221300-e3f0153cedba；FU-243918-25948e69ac2f；FU-243918-756332a21136；FU-243918-7dd0286e70f3"
"P04_DUAL_BOOK_ROLE","双别名账簿角色","234256->dm_fii_test.dtl_otc_swap_ast_leg_info_day","1","bel_dept；book_agt_id；busi_date；eff_date；exp_date；src_tbl","JOIN关联；输出取值；过滤条件","234256: 同一任务两次引用：rb以账簿ID内连接当前账簿资格；bb中的第二个别名以账簿ID连接名称，并用生效/到期日筛选后输出Bel_Dept。","属性补充；范围控制","一个别名校验账簿存在，另一个带有效期并补部门","SINGLE_PATTERN_TASK_FACT_SLICE","单例模式","E-234256","FU-234256-127ee2db401e；FU-234256-1942d31ed84a；FU-234256-548b114ff204；FU-234256-73ea8c2ad72c；FU-234256-99636fa117e3；FU-234256-9fc7e02a6ff1；FU-234256-ad01c5af5cf7；FU-234256-b12ecfe68558；FU-234256-f6126f57ecb8"
"P05_DEPARTMENT_CLASSIFICATION","账簿属性驱动分类","176610->dm_cmpl_n.aml_comp_trd_info；241773->dm_index_n.grp_tag_otc_deri_contr_cros_contr_type","2","bel_co；bel_dept；book_agt_id；busi_date；cntr；src_tbl","JOIN关联；条件/回退取值；计算取值；输出取值；过滤条件","176610: 三个互换事件分支分别内连接当日OTC或GFS_FICC账簿，并把Bel_Dept通过CASE映射为系统名称‘股衍/固收’。；241773: 期权分支左连接账簿取Cntr参与北上QIS分类；互换分支内连接账簿取Bel_Dept/Bel_Co参与OTC_HK、GFS_HK等合约标签CASE。","范围控制；计算或条件取值；属性补充","Bel_Dept/Bel_Co/Cntr进入CASE或标签分类；连接类型决定缺匹配是否留存","SINGLE_PATTERN_TASK_FACT_SLICE","同主题不同规则（字段与连接类型不同）","E-176610；E-241773","FU-176610-13b67669cad4；FU-176610-1861e256ce4a；FU-176610-3168a98e7819；FU-176610-443c3ee418d8；FU-176610-49468a5d2b02；FU-176610-4e5a137f5a81；FU-176610-51705576b4a9；FU-176610-6ded8dbb7037；FU-176610-78d2485c7007；FU-176610-85cd393fb511；FU-176610-b88400f4fce7；FU-176610-bd67d7ced48d；FU-176610-c1dc326ad2eb；FU-176610-d25503129a20；FU-176610-d672ac53d86e；FU-176610-e14102af0abb；FU-176610-ee4b5de1a3ce；FU-176610-f75a155b2fb9；FU-241773-19df443701ec；FU-241773-1f5836e02f02；FU-241773-20a81bfd327a；FU-241773-235775b7ccca；FU-241773-528c4dc89258；FU-241773-764662fac2b6；FU-241773-7ac7440fa82e；FU-241773-845516817238；FU-241773-990691ba736f；FU-241773-99eeaa287149；FU-241773-9c170c1fcf46；FU-241773-abe5257af6f1；FU-241773-b1de45bfa88f；FU-241773-b49dfd083136；FU-241773-b884166d1295；FU-241773-bc2786bbd1c6；FU-241773-be2088d40ed1；FU-241773-e29759ffe4ad；FU-241773-f475a96c02f5；FU-241773-fc239cd0fbc2；FU-241773-fda79f0d748c"
"P06_REPORTING_ELIGIBILITY","报送资格控制","143830->dm_rsk_n.d_v_risk_contr_capital_mapping；171179->dm_fin_n.adm_trd_otc_comp_day","2","bel_dept；book_agt_id；busi_date；rep_fin_flag；rep_risk_flag；src_tbl","JOIN关联；计算取值；输出取值；过滤条件","143830: 履保映射分支沿交易到账簿关系内连接当日账簿，并在WHERE要求Rep_Risk_Flag=1，限定进入风险合约与保证金账户映射的账簿。；171179: 直接读取目标表的两个互换分支都以账簿ID内连接Rep_Fin_Flag=1的当日账簿，同时输出Bel_Dept；其他文本命中是T98表的src_tbl常量，不是再次读取目标物理表。","范围控制；属性补充","Rep_Fin_Flag或Rep_Risk_Flag参与范围过滤，标志不可互换","SINGLE_PATTERN_TASK_FACT_SLICE","同主题不同规则（标志不可互换）","E-143830；E-171179","FU-143830-2d49ffd0b417；FU-143830-53dd5eb089ff；FU-143830-558ceb97a8de；FU-143830-651facfa2f80；FU-143830-84d093928275；FU-143830-84e043dc40fa；FU-171179-130c3207c9db；FU-171179-21e67b13a2c7；FU-171179-2d13a2191fae；FU-171179-4328447993ce；FU-171179-62cb8cb127b3；FU-171179-642cf43eb169；FU-171179-7ea0cf51bd53；FU-171179-9cc6112b59f5；FU-171179-a075b8a1498d；FU-171179-ab21ac893847；FU-171179-ab6551a10c7e；FU-171179-b90170f49556；FU-171179-dc9255ec57c4；FU-171179-dcf2bd294d8c；FU-171179-f5b3cd480b1a；FU-171179-ff57165a1386"
"P07_BOOK_DIMENSION_PROJECTION","账簿维表投影","134167->dm_hk_n.ref_book；145871->pdata_n.t98_otc_deri_book_info；243918->dm_fii_n.det_titans_book_acct_lvl_info","3","bel_co；bel_dept；book_agt_id；book_agt_modifr；busi_date；cntr；eff_date；enable_ast_module_flag；enable_rgst_flag；enable_risk_qta_flag；enable_scdtm_revw_flag；enable_sett_ntfc_flag；enable_trd_cfm_flag；exp_date；map_undrl_cd；ost_otc_ind；remark；rep_fin_flag；rep_risk_flag；src_tbl","JOIN关联；条件/回退取值；输出取值；过滤条件","134167: 以GFS_HK账簿快照为驱动，输出账簿公司、部门、柜台和各类开关；若干0/1开关通过CASE转成Y/N，并内连接有效账簿名称。；145871: 以当日D_REF_BOOK快照为驱动，直接透传柜台、部门、公司及各类开关，再左连接协议、名称和持有人名称，生成T98账簿信息。；243918: 账簿字段的输出绑定、名称/主体连接和柜台代码解释构成维表投影。","属性补充；范围控制；计算或条件取值；身份/代码映射","以目标表为驱动，输出账簿属性和开关，再补名称/主体/代码描述","EXPLICIT_PATTERN_FACT_SLICE；SINGLE_PATTERN_TASK_FACT_SLICE","同主题不同规则（范围与转换不同）","E-134167；E-145871；E-243918","FU-134167-087fa9af5a2a；FU-134167-267388bf9414；FU-134167-325ffedcb2d9；FU-134167-32a260dd0fb8；FU-134167-3aa8eb8d8a5b；FU-134167-5fea1f88bc68；FU-134167-76ae5f3c686e；FU-134167-805a3ed59149；FU-134167-8477fe6a556b；FU-134167-924efc78abec；FU-134167-95065196e893；FU-134167-98f071ae96c9；FU-134167-9e4ceba37b52；FU-134167-a0258070f645；FU-134167-a319931ed6e6；FU-134167-a39f5556ef85；FU-134167-aafddf8c6ca8；FU-134167-ac5200030dfb；FU-134167-b18cab38e76e；FU-134167-b19d9356524f；FU-134167-b23c4efffc95；FU-134167-ba61f047aa83；FU-134167-e227eb28bf05；FU-134167-e351083b6c85；FU-134167-e742e83798bf；FU-134167-e8402c2d4d9e；FU-134167-f04048850056；FU-134167-fb93e1b31f29；FU-134167-fcdd7aa1264f；FU-145871-0ee0e025ff7d；FU-145871-1bb7eccd8134；FU-145871-481308ac8e33；FU-145871-5b50ef5fa2ae；FU-145871-62bcb8ee9176；FU-145871-76568087023c；FU-145871-901bf6e9655b；FU-145871-a10fb09863e6；FU-145871-a9275adee445；FU-145871-b0eda81ad3e9；FU-145871-b2e0a023a581；FU-145871-c1872b8d019f；FU-145871-d3b048f57d7f；FU-145871-f2716bba2e4c；FU-145871-f8d09a7622d4；FU-145871-f9c7016f05f4；FU-145871-fc6df73b0cfd；FU-243918-043448136e3c；FU-243918-0a02e66799f1；FU-243918-10c46759b579；FU-243918-17859216d31f；FU-243918-22935a374802；FU-243918-29c0b137b04e；FU-243918-35ea4b9c177f；FU-243918-4c9f7ba76bc4；FU-243918-604e93468cde；FU-243918-7385752857e8；FU-243918-7a86b91e0982；FU-243918-9135f1e1b7d3；FU-243918-9195af5d2698；FU-243918-9bb97dff21e6；FU-243918-a9f825d82b1e；FU-243918-af477db96e1b；FU-243918-c96fbe667e42；FU-243918-da10c66a0e37；FU-243918-e241004a90c9；FU-243918-f157299c368b；FU-243918-f1582a15f4a5"
"P08_HK_CONTRACT_SCOPE","香港公司账簿范围","234175->dm_hk_test.info_ref_option_general_info_test","1","bel_co；book_agt_id；busi_date；src_tbl","JOIN关联；过滤条件","234175: 期权通用信息先连接子交易，再按Book_Agt_Id内连接当日Bel_Co=GFS_HK账簿，仅保留香港公司账簿关联的标的信息。","范围控制","Bel_Co=GFS_HK作为内连接资格条件","SINGLE_PATTERN_TASK_FACT_SLICE","单例模式","E-234175","FU-234175-096c21ef21a8；FU-234175-0c393f451413；FU-234175-18b16a077b6a；FU-234175-d48cc1f55a3d"
"P09_BOOK_REASSIGNMENT","原账簿到目标账簿重映射","107018->pdata_n.t98_otc_swap_comp_trd_undrl_info；209119->dm_rsk_n.otc_opt_sub_trd_info","2","bel_dept；book_agt_id；book_agt_modifr；busi_date；src_tbl","JOIN关联；计算取值；过滤条件","107018: 多次引用目标表验证映射后的目标账簿存在；主分支又按账簿ID+修饰符连接，输出Bel_Dept。合约可按合约号、交易对手或默认规则从原账簿重映射到目标账簿。；209119: 三个映射分支以目标账簿Book_Agt_Id做存在性校验；首分支只有业务日期条件，另两支还有src_tbl条件。","身份/代码映射；范围控制；属性补充","依据规则表/关系表形成目标账簿并由目标表验证存在","EXPLICIT_PATTERN_FACT_SLICE；SINGLE_PATTERN_TASK_FACT_SLICE","同主题不同规则（规则来源与输出不同）","E-107018；E-209119","FU-107018-025a76937a6b；FU-107018-48963684d9ab；FU-107018-4c62f7ee0da7；FU-107018-4d001cb829e7；FU-107018-5e119459010b；FU-107018-badfab5854b0；FU-107018-e5e5c258554c；FU-107018-fdd8a720c3f1；FU-209119-090a0bec91e7；FU-209119-0a3eb0372cbf；FU-209119-0b78e77f6f2d；FU-209119-71f554894ffd；FU-209119-a661f5d17e81；FU-209119-d795d6d35eb5；FU-209119-e87648f5995a；FU-209119-f45b077ad357"
"P10_SPECIAL_SCOPE_EXCEPTION","部门条件加硬编码例外","138186->dm_otc_n.v_equity_trs_underlying","1","bel_dept；book_agt_id；busi_date；src_tbl","JOIN关联；过滤条件","138186: 按账簿ID内连接当日账簿，WHERE采用‘Bel_Dept=ED 或指定合约/标的白名单’的复合条件控制权益TRS标的输出范围。","范围控制","ED部门或合约/标的白名单，OR分支不可被归一化掉","SINGLE_PATTERN_TASK_FACT_SLICE","单例特殊规则","E-138186","FU-138186-04cb528272c7；FU-138186-25f0f0a6969b；FU-138186-558b6510fb8a；FU-138186-a687f0bca315"
