"编号","归类","结果或加工","代表任务","关键规则","后续解释边界","状态"
"S01","销售与经营分析","交叉销售收入日报","118141","销售基础、逐日金额、归属与经营系数共同形成交叉销售收入；读取额外奖励，并排除全部归属均为默认部门的记录。","销售基础／逐日本金／归属／参数；下游展示待核","代表任务关键规则已核；未证明全链完整"
"S02","销售与经营分析","对内销售收入日报","114013","对内收入使用 INR 专用映射、基准和价差系数，不能与交叉销售日报合并成同一口径。","对内系数有效期、客户与归属","代表任务关键规则已核；未证明全链完整"
"S03","销售与经营分析","销售参数查询","118143","围绕销售合约关联价差、基础系数及其他参数；与收入日报是分别生成的结果。","参数与收入分别核对","代表任务关键规则已核；未证明全链完整"
"S04","销售与经营分析","客户每日规模明细","224351","将销售基础、按日明细和管理归属组合，展开介绍人员与机构分支，按人员、客户及计提日汇总。","日期、人员分配与聚合粒度","代表任务关键规则已核；未证明全链完整"
"S05","销售与经营分析","交易明细与经营归属查询","103457","销售合约关联管理归属和客户标签，排除费用互换并按归属条件筛选，再按合约等维度整理。","不能由“交易明细”表名认定仅为源交易复制","代表任务关键规则已核；未证明全链完整"
"R01","持仓、风险与盈亏分析","期权 Greeks 明细","176827","组合合约、子交易、日终指标、证券与相关性等资料；还包含场内期权分支及风险报送账簿筛选。","区分承接定价指标与本段新增计算","代表任务关键规则已核；未证明全链完整"
"R02","持仓、风险与盈亏分析","压力测试与限额结果","155157","按价格及波动率偏移组织指标，计算基准 PV 汇总、Delta 汇总，并合并日终限额指标。","压力情景、基准与指标类型分别解释","代表任务关键规则已核；未证明全链完整"
"R03","持仓、风险与盈亏分析","互换合约盈亏查询","138194","连接互换合约、账簿、持仓与报备资料，补业务分类等输出字段。","业务范围与财务盈亏分开","代表任务关键规则已核；未证明全链完整"
"O01","资金、保证金与运营分析","组合保证金明细","176877","以组合履保结果为基础，结合账户余额与保证金流水，按动作类型累计提取及补缴，并对部分组合做排除。","应缴、余额、流水和组合关系不能混为一个金额","代表任务关键规则已核；未证明全链完整"
"F01","财务与估值系统供数","TRS 财务盈亏报表","121327","读取 NDS 财务盈亏结果，筛选业务日期并投影、转换字段；复杂口径需要继续上溯源结果。","下游 SQL 简单不代表上游口径简单","代表任务关键规则已核；未证明全链完整"
"F02","财务与估值系统供数","估值系统互换交割明细","198806","按业务事件分支组织互换交易金额，关联合约和启用中的财务账户；含期末结算汇总及部门映射。","事件、币种、账户与日期口径","代表任务关键规则已核；未证明全链完整"
"G01","监管与协会报送","客户保证金报送材料","207789","从 TIT 的 A1020 报送视图贴源读取，转换为 T95 客户保证金信息；同组还有担保品与附件表。","本段不能证明整张报表的计算或成功报送","代表任务关键规则已核；未证明全链完整"
"G02","监管与协会报送","收益凭证报备材料","223239","从收益凭证报送视图贴源读取，形成 T95 收益凭证信息。","源视图计算和最终报送仍需分别追踪","代表任务关键规则已核；未证明全链完整"
"G03","监管与协会报送","跨境场外衍生品业务明细","205224","从 A2001 报送视图贴源整理为 T95 跨境业务明细。","跨境作为专题范围，不把香港库整体等同跨境报送","代表任务关键规则已核；未证明全链完整"
"G04","监管与协会报送","主协议报送数据","129839","从 NDS 主协议 A1001 资料形成 CISP 输出，SQL 取下一业务参数日；需单独解释日期约定。","还应按同项目关联产品、业务代表及附件组织","代表任务关键规则已核；未证明全链完整"
"G05","监管与协会报送","香港合约报备供数","134140","读取协会报备事件，通过有效合约—账簿关系和账簿映射筛选香港公司范围。","香港是本专题范围维度；其他香港输出按各自用途归类","代表任务关键规则已核；未证明全链完整"
"G06","监管与协会报送","已报备合约月末规模指标","162610","汇总动态名义本金，使用报备事件的 SKIP_REPORT 状态做排除，再匹配指标组合。","数值汇总与报备排除条件分别解释","代表任务关键规则已核；未证明全链完整"
"C01","客户准入与服务管理","客户准入进度查询","121434","组合准入流程、流程实例、审批意见、最新处理结果及员工机构资料，按流程单据组织输出。","进度、意见和人员归属分别说明","代表任务关键规则已核；未证明全链完整"
"C02","客户准入与服务管理","已准入客户管理","133136","客户资料关联介绍关系、员工机构与到期提醒；按分配比例排列介绍关系并按客户整理。","准入状态不替代客户管理或提醒口径","代表任务关键规则已核；未证明全链完整"
"C03","客户准入与服务管理","估值报告生成与发送结果查询","146622","合并 OIS 配置／执行记录与 NDS 报告配置／生成结果；NDS 分支筛选生成和发送成功标志，并按配置及估值日选最新记录。","SQL 记录的成功标志不等于本轮验证邮件实际送达","代表任务关键规则已核；未证明全链完整"
"P01","公共加工与应用支撑","销售管理归属","105743","按介绍关系比例排序，结合人员机构整理销售归属，供多个结果复用。","放在销售专题公共加工说明，避免重复","代表任务关键规则已核；未证明全链完整"
"P02","公共加工与应用支撑","逐日本金与费用明细","107491","展开计提日，按产品分支结合事件或历史持仓处理动态本金；Busi_Date 承载计提日。","不是新增独立业务大类","代表任务关键规则已核；未证明全链完整"
"P03","公共加工与应用支撑","用户账簿权限查询","177414","关联用户、角色、权限代码、员工及账簿，形成权限查询结果。","属于应用治理支撑，不能强塞进销售或风险报表","代表任务关键规则已核；未证明全链完整"
"P04","公共加工与应用支撑","功能菜单映射","242349","从功能菜单映射源表整理编号关系，是公共基础资料。","引用第一模块，不按 T99 前缀当复杂消费专题","代表任务关键规则已核；未证明全链完整"
"P05","公共加工与应用支撑","同一交易对手输出","139120","读取 T02 同一交易对手资料并限定来源与分组输出，本段未重新计算合并关系。","业务含义引用对象专题，搬运交付衔接第四模块","代表任务关键规则已核；未证明全链完整"
"Q01","图谱缺口核对","客户准入结果导出","91973","查询 SQL 明确从 DM 准入结果取数，但本批 externalReads 为空且 finalWrites 关联该 DM 表。","导出读取／目标归属需复核，不按该观察证明反向生产","代表任务关键规则已核；未证明全链完整"
"Q02","图谱缺口核对","已准入客户结果导出","132277","查询 SQL 明确从 DM 客户管理结果取数，但本批 externalReads 为空且 finalWrites 关联该 DM 表。","不能把图内未见读取当真实终点","代表任务关键规则已核；未证明全链完整"
