"物理表ID","平台","数据源","表名","中文注释","角色","证据级别","判断理由","核验范围","待确认问题","核验图版本","核验时间","证据ID"
"dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7","hive","gfhive","dm_index_n.grp_def","组合定义","PUBLIC_DEFINITION","SQL_VERIFIED","SQL按status、grp_type_code、grp_val筛选并连接组合定义，确认它作为公共组合解释与匹配规则参与计算。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","仅核对所列代表SQL片段；未逐一核对该物理表的全部写者和全部消费者。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:c068faabef5c1265f552c9dc8c7acd4f88a685b3ff46d87544746b4a30ae3ea7"
"dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140","hive","gfhive","pdata_n.ref_cd_cvt_map","代码转换对照","PUBLIC_DEFINITION;PUBLIC_PARAMETER","SQL_VERIFIED","消费SQL按目标表/字段、源表/字段和源系统限定转换域，再用源代码关联仓库代码，确认它同时承载公共定义与转换参数。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","仅核对所列代表SQL片段；未逐一核对该物理表的全部写者和全部消费者。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140"
"dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed","hive","gfhive","pdata_n.t03_otc_deri_book_adtnl_info","每天一份快照，记录场外衍生品账簿的生效到期日、所属机构、交易与风控开关、底层标的映射等附加配置信息，用于账簿管理与业务控制。","BUSINESS_FOUNDATION","SQL_VERIFIED","账簿身份、所属部门、柜台与映射标的在具体消费中承担公共业务基础作用；补属性和业务控制分别记录。","依据已核消费者确认基础角色，全部生产分支及其他消费者尚未验收。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:f322d64cc13f2c1fedf2c1d26bc3f5dbf17e636b8ef92b75b28867c45f417aed"
"dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","hive","gfhive","pdata_news_n.t02_scr_base_info","证券基本信息","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖19个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c"
"dataset:f71ed2df603c69558c7effb4b700bf8461eb35fbeaeac7e58d1db4b6abb13b4b","hive","gfhive","pdata_n.t03_agt_rela_h","历史拉链表，存放各类协议之间的关系，如资金账户与其它各类账户，合同、合约的关系，证券账户与其它各类合约的关系等，关系清单请查看仓库代码-协议关系类型代码CD051。","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖12个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:f71ed2df603c69558c7effb4b700bf8461eb35fbeaeac7e58d1db4b6abb13b4b"
"dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701","hive","gfhive","pdata_news_n.t02_pub_covt_const","常量转换表","PUBLIC_PARAMETER","METADATA_ONLY","元数据将其描述为常量转换对象；下游覆盖9个schema，说明复用分散，暂列公共参数候选，未核SQL所以不建议排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701"
"dataset:4db8aa55ce40db06353dbe35858ca5eefae93df348e25de00ead4721dfb2b94f","hive","gfhive","pdata_n.t98_org_emp_base_info","T98_员工基本信息","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖12个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:4db8aa55ce40db06353dbe35858ca5eefae93df348e25de00ead4721dfb2b94f"
"dataset:87bb0c983bbd36efbb7599b806d1e6cf6427317bbf474cd3a1ae3e191638d224","hive","gfhive","pdata_n.t98_org_brch_div_info","每天一份快照，存放我司分支机构的清单，机构编号使用柜台的编号，机构名称使用ERP机构的名称，所属分公司数据从ERP获取","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖13个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:87bb0c983bbd36efbb7599b806d1e6cf6427317bbf474cd3a1ae3e191638d224"
"dataset:f89b8c64b0d26b2f8480485076dcb50d14a95d7da34aec1126864981495c5522","hive","gfhive","pdata_news_n.t02_tit_scr_base_info","证券基本信息","BUSINESS_FOUNDATION","SQL_VERIFIED","证券身份与币种属性参与合约标签判断，属于公共业务基础，不等于可在业务解释中省略。","依据已核消费者确认基础角色，全部生产分支及其他消费者尚未验收。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:f89b8c64b0d26b2f8480485076dcb50d14a95d7da34aec1126864981495c5522"
"dataset:e4b3adf0b6ff37620a08c69009d1d80e6d37a0148814261f0adc2418edd6b23d","hive","gfhive","pdata_n.t98_brok_corp_cust_base_info","T98_经纪业务对公客户基本信息","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖10个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:e4b3adf0b6ff37620a08c69009d1d80e6d37a0148814261f0adc2418edd6b23d"
"dataset:2eb2a33c62057a1e01375519b9e6c34ad4eabe5f525dd5f6b073fade8163badf","hive","gfhive","pdata_n.t98_brok_indv_cust_base_info","每天一份快照，存放经纪业务的个人客户的常用信息，从T01主题相关表加工得到，宽表形式","BUSINESS_FOUNDATION","METADATA_ONLY","中文注释表明其承载客户、证券、账簿、协议、交易或组织身份/关系等基础业务对象；下游覆盖9个schema，说明复用分散，不能因复用度高自动排除。","当前排名候选中的局部角色判断，不代表所有写者与全部字段均已核验。","角色依据当前元数据中文注释；尚未核对本表SQL，不能据此执行排除。","44e87de15ca82eb40480569c1db59c87b3636f7194b50576137889162425224e","2026-09-08T08:55:26.495Z","dataset:2eb2a33c62057a1e01375519b9e6c34ad4eabe5f525dd5f6b073fade8163badf"
