"任务ID","任务名","类别","图覆盖状态","覆盖解释","读取观察数","写入观察数","SQL词法筛查线索","JOIN词频","UNION词频","GROUP_BY词频","窗口词频","聚合函数词频","CASE词频","SQL槽内容SHA256","代表核对编号"
"10356","odata_prd.prd_p_go_order","hiveTask-2.0","PROJECTED","DATA_LINEAGE","4","1","多来源或计算线索","2","2","0","0","0","0","query:76ea761f8b4b344182a3d005ec5cd503837f771e65633824f6e142825dc9d772",""
"10580","risk.cal_f_bundlreport_equity","hive2postgre","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:2fcf768446eeef43027c38dbb1b1b9f37a91e1c9d7e7994c3ec7193701b95481;truncate:ddd11e1a6f071ed7a81d3de9321b589c41e4e0359b2cd5ad28c9b2436023a898",""
"14799","dm_prd.pc_basicproduct","postgre2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:347013161f6e00ceb22124c793a90a9fac774cb3459ba0d6b03cd7014e3d91eb",""
"14801","crmii.pc_basicproduct","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:d426aa0acfd65f99f8d238378a7416f2f933934fe2648d38f3c7b53b1b4eef83",""
"18407","gf_app.sos_callback_success","hive2postgre","PROJECTED","DATA_LINEAGE","0","1","未见复杂算子线索","0","0","0","0","0","0","query:bca7324eddfe71920213ea58d2696d1adedc36e0eebf6a605d5e425581ecdfe8",""
"20924","risk.cal_rm_transferreport","hive2postgre","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:9a93d754f0c29d08673ae9e8f66801755998d005bcca3e8f478ffd3c30cca12e",""
"32003","spdata.pty_org","hiveTask-2.0","PROJECTED","DATA_LINEAGE","4","2","多来源或计算线索","3","1","0","0","0","0","query:d00d4f08d9fa8e0a2b2f9a8d857d82dfb33a56b9d0ca710ee12c014c6b5224e6",""
"32004","spdata.pty_cutp_info","hiveTask-2.0","PROJECTED","DATA_LINEAGE","2","2","多来源或计算线索","3","1","0","0","0","0","query:87a6df5854c48c9bb61960b2aa67b43082d4e5042afd5d9d0c476709e0cab8aa",""
"34358","crmii.tbasicproduct","hive2oracle","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:93e2ede302259e3cdca82c1d751f994edd4df07f0278e37a4ec235f75eeae4b3",""
"34863","odata_n_tit.r_ref_instrument_f","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:55851225904ba4fd0f026f39f22cc787831d7f9c61d0d3706d0b49ccb5ca7f5b",""
"34866","odata_n_tit.r_ref_instrument_code","oracle2hive","PROJECTED","DATA_LINEAGE","1","1","未见复杂算子线索","0","0","0","0","0","0","query:527f3f4fccb99eaf38fe28566af12c168b919e9a601e045e20761a093afe309d",""
