"类型","业务ID","名称","定义","输出库表","匹配当前IO表名","筛选范围","证据边界"
"indicator","ind2024040945708188","账套_合约价值_无限制条件_当日_托管与外包","外包估值系统：
1.场外期权: 外包估值表，体系科目为(3102A199,3102B199)，当日明细项市值合计。
2.衍生品(不含期货、期权): 外包估值表，体系科目为(3102C199,3102C299)，当日明细项市值合计。
3.场外衍生品: 外包估值表，科目代码(3102C1开头,310237开头)，当日市值合计。
4.股指期货: 证券结存表，证券类别为6(指数/国债/外汇期货)，证券明细为2(开放式基金)，月末自然日的累计估值合计。
5.国债期货: 证券结存表，证券类别为6(指数/国债/外汇期货)，证券明细为3(ETF基金)，月末自然日的累计估值合计。
6.商品期货: 证券结存表，证券类别为7(商品期货)，月末自然日的累计估值合计。
7.场内期权: 证券结存表，证券类别为10(期权)，月末自然日的累计估值合计。
8.期货: 证券结存表，证券类别为5(权证)、6(指数/国债/外汇期货)、7(商品期货)，月末自然日累计估值加上成本的合计值。
9.期权(场内场外): 场内期权+场外期权
10.收益互换: 凭证表科目代码3102C1开头，成立至今的余额；","dm_index_n.index_grp1_sob_contr_val_day_cstdandoserv","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024061151917727","客户_累计收益率_无限制条件_近一个月_零售和机构柜台","客户近一月收益率（全账户/普通/信用/期权/养老金/股基/普通场内股基/信用场内股基/普通场外基金）
全账户/普通/信用/期权/养老金区间累计收益率是利用每日收益率去进行累乘计算；
股基/普通场内股基/信用场内股基/普通场外基金区间累计收益率是基于单券级别的模型表采用资金加权算法计算（收益率=(期末市值-期初市值+累计卖出金额-累计买入金额)/(期初市值+累计加权资金)）","dm_index_n.index_grp1_cust_yield_recentmth_retandorgcntr","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025052114612492","模拟组合_日终资产_无限制条件_当日_无备注信息","每日盘后统计模拟组合的当日日终资产，日终资产=资金余额+总持仓市值，持仓标的类型含A股、债券、场内基金、场外基金、私募产品。

特殊情况：对应大赛已结束（结束日期晚于当日）的模拟组合不再更新当日的日终资产。","dm_index_n.index_grp1_simu_comb_enayast_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025011458544243","员工_新增有效户数_普通开发关系&日均净资产大于等于1万的客户_近3月月均_无备注信息","考核期间（近三个月），计算员工名下为普通开发关系且日均净资产大于等于1万的新增客户总数/3。
新增客户条件如下：
①开户条件：满足新开户（首次开户6个月内）/休眠空户激活/行权解禁条件。
②资产条件：考核期任意月份10-25日交易日首次日均净资产大于等于1万元的个人或机构客户，计作有效户。净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两融等合约负债），大小非（含限售和流通）、新三板（不含北交所）资产按5%折算。
③三要素重复的客户，剔除存在账号于24年前开户且24年到19年间最大资产超过1w的客户；
（2）计算规则：
①客户日均净资产大于等于1万，且添加企业微信绑定，记1个有效户。
②客户日均净资产大于等于1万，但未添加企业微信绑定，记0.8个有效户。","dm_index_n.index_grp1_emp_addvld_acctcount_normdevrela_mth","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2023111400428862","客户*产品_购买金额_理财特权卡券_当日_零售和机构柜台","某天某客户购买某类理财特权卡券金额。备注说明：理财特权卡券设置“心仪理财特权卡券”、“心动理财特权卡券”2类卡券，其中心仪理财特权卡券对应原金快线产品，心动理财特权卡券对应原收益凭证产品","dm_index_n.index_grp2_cust_secu_purchamt_chrem_privi_cardscr_tdy","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026080479979257","场外衍生品合约_初始名义本金_人民币_当日_无备注信息","场外衍生品合约初始名义本金（CNY）","dm_index_n.index_grp1_otcdericontr_initnomprin_cny_tdy","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026060975762123","场外衍生品合约_动态名义本金_人民币_当日_无备注信息","场外衍生品合约动态名义本金（CNY）","dm_index_n.index_grp1_otcdericontr_dynanomprin_cny_tdy","否","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2024071009566339","员工_新增净资产_普通开发关系&日均净资产大于等于1万的客户_近3月月均_无备注信息","计算普通开发关系下的员工近3月月均净资产。
计算逻辑如下：
①月均资产=（考核资产T+T-1月考核资产+T-2月考核资产）÷3 
②考核资产T-1是指T-1月资产大于等于1万的客户在T月10-25日日均考核资产，考核资产T-2是指T-2月资产大于等于1万的客户在T月10-25日日均考核资产。
③T-2到T月，客户3个月的10-25 日日均净资产均需大于1 万才能计算入当月月均资产。
①客户条件：满足新开户（首次开户6个月内）/休眠空户激活/行权解禁条件， 10-25 日日均净资产大于等于 1 万的客户，纳入考核，客户入金须在本月10日前。
②资产条件：净资产口径含现金（普通账户、信用账户和衍生品账户）、市值（普通账户、信用账户和衍生品账户，具体含场内股基债、场外金融产品、衍生品市值等）、利息（通用回购逆回购、金快线），剔除负债（通用回购正回购、两融等合约负债），大小非、新三板（剔除北交所）资产按5%折算。
资产口径：当月10-25日日均净资产（同上资产条件）。","dm_index_n.index_grp1_emp_netast_normdevrela_majorminor_ninclunarrast_3mthmthavg","否","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2025020677119280","员工_创收_投顾序列人员考核_当月_零售和机构柜台","员工维度全口径aum创收，其中期权创收、证金创收、产品创收、资讯创收以及传统创收按资产包关系从客户汇总到员工，平台增值业务和交叉销售创收直接从上游取数，详细标签可见：https://doc.weixin.qq.com/sheet/e3_AZYAGQY2APAaF81Kqm3TbmelhLgD4?scode=AH4A_wdgAAYyUNTED0AUcAugYyAPM&tab=BB08J2
应用于投顾序列人员考核
指标计算口径：
（1）客户范围：上季度末关系状态为正常+上季度期间关系移除但未被重新挂接关系客户+本季度自主开发客户；
（3）人员范围取考核月末人员岗位且离职日期小于等于考核月月初的所有人员
（4）每月8日固化上个考核月的月度数据，计算方式按人员名下资产包归属关系同时按照自然月加总当月全口径创收
（5）财富创收中平台增值业务创收以及交叉销售创收人员及客户数据直接由上游提供，非资产包关系，该部分数据全部计入，不受考核当月新增关系影响，仅受客户是否为战略客户影响是否计入
（6）交叉销售创收中存在外部客户创收，该部分创收上游直接以员工编号、创收科目以及创收值提供，该部分数据直接计入指标数据，不做任何剔除操作直接计入
（7）证金业务创收、财富管理创收、交叉销售创收存在数据刷新情况（即由于费率或人工录入延误或数据确认延迟等原因），上述情况受每月8日固化数据影响，即8日后考核所需指标及过程数据不再进行刷新
（8）当月离职人员创收数据按照离职月份整月进行计算","dm_index_n.index_grp1_income_exam_pqtrastendastpkgrela_mth_retandorgcntr","是","宽关键词候选，可能无关","目录候选；库表名称匹配不等于物理身份或实际消费"
"indicator","ind2026072767989270","场外衍生品合约_累计收益_无限制条件_当日_无备注信息","TITANS场外衍生品合约累计收益（累计已实现+累计未实现）","dm_index_n.index_grp1_otcdericontr_accumyield_tdy","是","名称或表名直接命中专题词","目录候选；库表名称匹配不等于物理身份或实际消费"
